序号,1、Please select the option that best describes your experience with OpenRice:,2、Please select the option that best describes your experience with OpenRice:,3、Which feature(s) did you concern during your last visit?,4、Rank the following features according to your level of concern during your last visit.,"5、On a scale of 1 to 5, how likely are you to consider the following UI features when making a choice?—Restaurant Information (e.g. Introduction, Address, Opening Hours etc) ","5、User interface elements (price, images, menu)",5、Pricing,5、The Appealing images,5、The detailed menu,5、The comments from other users,5、The rating from other users,5、The discounts or promotions,5、The detailed food descriptions,"6、To what extent do you agree with the statement about your personalities? Use a scale of 1 to 5, where 1 indicates ""Strongly Disagree"" and 5 indicates ""Strongly Agree.""—Is depressed, blue","6、Is relaxed, handles stress well",6、Can be tense,6、Worries a lot,"6、Is emotionally stable, not easily upset",6、Can be moody,6、Remains calm in tense situations,6、Gets nervous hardly,7、What is your gender?,8、Which age group do you belong?,9、What is the highest degree or level of education you have completed?,10、What is your current employment status?,"11、On a scale of 5, how well your expectations were met after reviewing OpenRice.","12、On a scale from 1 to 5, how would you rate your recent experience after perusing OpenRice?",13、Please provide the name of the last restaurant you dined at?,总分
11,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Rating→Pricing→Food Descriptions→Comments from Other Users→Discounts or Promotions→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Appealing images",Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Moderately Important  ,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Normal,Female,0 - 14,Secondary school,Student,Very Unsatisfied,Normal,華星冰室,77
12,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Food Descriptions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Normal,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Male,55 - 64,Secondary school,Employed Part-Time,Unsatisfied,Very Satisfied,滿記甜品,82
13,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Comments from Other Users→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating→Appealing images→Pricing",Very Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Strongly Agree,Normal,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Male,15 - 24,Associate degree / Diploma,Employed Full-Time,Satisfied,Satisfied,靠得住,80
14,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Rating→Pricing→Comments from Other Users→Detailed Menu→Food Descriptions→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Discounts or Promotions",Moderately Important  ,Moderately Important  ,Slightly Important,Not Important at All,Not Important at All,Moderately Important  ,Not Important at All,Not Important at All,Not Important at All,Strongly Agree,Agree,Agree,Normal,Normal,Normal,Strongly Agree,Normal,Male,35 - 44,Bachelor's degree,Employed Full-Time,Very Satisfied,Satisfied,維記咖啡粉麵,55
15,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Rating→Food Descriptions→Detailed Menu→Appealing images→Discounts or Promotions→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Comments from Other Users",Slightly Important,Moderately Important  ,Slightly Important,Not Important at All,Slightly Important,Slightly Important,Slightly Important,Moderately Important  ,Not Important at All,Strongly Agree,Strongly Agree,Normal,Normal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Male,45 - 54,Secondary school,Employed Part-Time,Satisfied,Satisfied,鳳城酒家,61
16,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Rating→Pricing→Appealing images→Detailed Menu",Not Important at All,Not Important at All,Not Important at All,Moderately Important  ,Slightly Important,Not Important at All,Not Important at All,Moderately Important  ,Very Important,Agree,Agree,Agree,Normal,Agree,Strongly Agree,Normal,Strongly Agree,Male,15 - 24,Associate degree / Diploma,Employed Full-Time,Unsatisfied,Satisfied,金華冰廳,55
17,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Discounts or Promotions→Detailed Menu→Appealing images→Pricing→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Food Descriptions→Rating",Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Male,25 - 34,Master's degree,Employed Part-Time,Satisfied,Normal,公和荳品廠,83
18,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Appealing images→Rating→Comments from Other Users→Detailed Menu",Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important  ,Strongly Disagree,Strongly Disagree,Strongly Disagree,Normal,Disagree,Normal,Strongly Disagree,Agree,Male,25 - 34,Bachelor's degree,Employed Part-Time,Satisfied,Satisfied,妹記大排檔,62
19,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Comments from Other Users→Discounts or Promotions→Rating→Appealing images→Food Descriptions→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu",Extremely Important,Very Important,Moderately Important  ,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Normal,Normal,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Female,25 - 34,Master's degree,Employed Part-Time,Unsatisfied,Normal,泰昌蛋塔,77
20,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Rating→Detailed Menu→Food Descriptions→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Discounts or Promotions→Pricing→Comments from Other Users→Appealing images",Very Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Agree,Normal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Female,45 - 54,Primary school,Employed Part-Time,Very Unsatisfied,Very Satisfied,麥奀雲吞麵世家,80
21,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Comments from Other Users→Rating→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Appealing images",Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Moderately Important  ,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,0 - 14,Primary school,Student,Unsatisfied,Very Satisfied,泰昌蛋塔,85
22,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Appealing images→Comments from Other Users→Pricing→Rating",Not Important at All,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important at All,Very Important,Moderately Important  ,Not Important at All,Strongly Agree,Normal,Agree,Strongly Agree,Strongly Agree,Normal,Agree,Strongly Agree,Female,15 - 24,Associate degree / Diploma,Employed Full-Time,Unsatisfied,Satisfied,鏞記酒家,58
23,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Rating→Pricing→Appealing images→Food Descriptions→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Discounts or Promotions",Very Important,Extremely Important,Moderately Important  ,Moderately Important  ,Very Important,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Normal,Strongly Agree,Male,Above 64,Secondary school,Retired,Satisfied,Very Satisfied,甘牌燒鵝,80
24,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","(空)→Pricing→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Rating→Detailed Menu",Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Normal,Strongly Agree,Agree,Female,35 - 44,Associate degree / Diploma,Employed Full-Time,Unsatisfied,Very Satisfied,華星冰室,83
25,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Appealing images→Pricing→Comments from Other Users→Detailed Menu→Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)",Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Normal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Male,25 - 34,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Full-Time,Very Satisfied,Very Satisfied,劉森記麵家,84
26,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","(空)→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu→Comments from Other Users→Rating",Moderately Important  ,Very Important,Not Important at All,Moderately Important  ,Moderately Important  ,Not Important at All,Not Important at All,Very Important,Not Important at All,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Normal,Disagree,Male,45 - 54,Primary school,Employed Part-Time,Very Unsatisfied,Very Satisfied,肥姐小食店,44
27,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"Comments from Other Users→Discounts or Promotions→Pricing→Appealing images→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Food Descriptions→Rating",Extremely Important,Moderately Important  ,Very Important,Extremely Important,Very Important,Very Important,Very Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Normal,Male,25 - 34,Bachelor's degree,Employed Part-Time,Unsatisfied,Very Satisfied,維記咖啡粉麵,81
28,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Rating→Comments from Other Users→Appealing images→Detailed Menu→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Food Descriptions→Discounts or Promotions",Moderately Important  ,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Very Important,Very Important,Moderately Important  ,Moderately Important  ,Normal,Normal,Normal,Agree,Strongly Agree,Agree,Agree,Normal,Male,35 - 44,Bachelor's degree,Employed Part-Time,Very Unsatisfied,Very Satisfied,甘の季節,69
29,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Comments from Other Users,"Comments from Other Users→Appealing images→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Rating",Not Important at All,Not Important at All,Not Important at All,Moderately Important  ,Not Important at All,Not Important at All,Moderately Important  ,Not Important at All,Not Important at All,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Normal,Agree,Strongly Agree,Male,15 - 24,Bachelor's degree,Employed Part-Time,Unsatisfied,Satisfied,興記菜館,53
30,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Rating→Comments from Other Users→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images",Very Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Extremely Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Above 64,Primary school,Retired,Very Unsatisfied,Satisfied,新斗記,84
31,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Appealing images→Pricing→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Discounts or Promotions→Rating→Food Descriptions",Moderately Important  ,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Agree,Strongly Agree,Agree,Female,35 - 44,Bachelor's degree,Seeking opportunities,Unsatisfied,Very Satisfied,澳洲牛奶公司,83
32,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Rating→Appealing images→Comments from Other Users→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu",Very Important,Very Important,Moderately Important  ,Very Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Very Important,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Female,25 - 34,Associate degree / Diploma,Employed Part-Time,Very Satisfied,Satisfied,車仔麵之家,78
33,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Appealing images┋Detailed Menu┋Food Descriptions","(空)→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing",Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Very Important,Strongly Agree,Agree,Normal,Strongly Agree,Agree,Strongly Agree,Agree,Normal,Female,Above 64,Primary school,Retired,Satisfied,Satisfied,裕興咖啡,78
34,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Detailed Menu→Rating→Appealing images",Slightly Important,Not Important at All,Moderately Important  ,Slightly Important,Slightly Important,Moderately Important  ,Very Important,Not Important at All,Slightly Important,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Female,25 - 34,Master's degree,Employed Part-Time,Very Satisfied,Very Unsatisfied,再興燒臘,43
35,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Detailed Menu→Rating→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Appealing images",Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Moderately Important  ,Very Important,Very Important,Very Important,Strongly Agree,Agree,Agree,Normal,Strongly Agree,Normal,Agree,Strongly Agree,Female,35 - 44,Bachelor's degree,Seeking opportunities,Very Satisfied,Very Satisfied,義順牛奶公司,81
36,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Rating→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Detailed Menu→Comments from Other Users→Pricing",Very Important,Moderately Important  ,Extremely Important,Very Important,Very Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Agree,Agree,Normal,Agree,Agree,Strongly Agree,Normal,Strongly Agree,Male,25 - 34,Associate degree / Diploma,Seeking opportunities,Very Unsatisfied,Unsatisfied,華星冰室,73
37,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Detailed Menu→Pricing→Appealing images→Rating→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users",Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Moderately Important  ,Moderately Important  ,Extremely Important,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Female,35 - 44,Associate degree / Diploma,Seeking opportunities,Normal,Very Unsatisfied,澳門翠苑餐廳,58
38,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Detailed Menu┋Discounts or Promotions","Rating→Comments from Other Users→Appealing images→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Pricing→Detailed Menu",Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Extremely Important,Extremely Important,Extremely Important,Moderately Important  ,Very Important,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Male,0 - 14,Primary school,Student,Very Satisfied,Satisfied,肥姐小食店,85
39,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"(空)→Rating→Comments from Other Users→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Pricing→Detailed Menu",Slightly Important,Not Important at All,Not Important at All,Moderately Important  ,Moderately Important  ,Moderately Important  ,Slightly Important,Moderately Important  ,Not Important at All,Normal,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Normal,Agree,Disagree,Female,15 - 24,Associate degree / Diploma,Employed Part-Time,Satisfied,Unsatisfied,華記小食,42
40,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Comments from Other Users","Discounts or Promotions→Comments from Other Users→Detailed Menu→Food Descriptions→Pricing→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Appealing images→Rating",Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Very Important,Very Important,Extremely Important,Disagree,Normal,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Male,15 - 24,Master's degree,Employed Part-Time,Satisfied,Very Unsatisfied,泰昌蛋塔,60
41,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Rating","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating→Appealing images→Detailed Menu→Pricing→Comments from Other Users",Very Important,Very Important,Moderately Important  ,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Moderately Important  ,Very Important,Strongly Agree,Agree,Agree,Normal,Strongly Agree,Agree,Strongly Agree,Agree,Female,25 - 34,Bachelor's degree,Employed Full-Time,Unsatisfied,Unsatisfied,華記小食,73
42,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","(空)→Pricing→Comments from Other Users→Appealing images→Detailed Menu→Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating",Very Important,Very Important,Moderately Important  ,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Very Important,Strongly Disagree,Disagree,Normal,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Female,25 - 34,Associate degree / Diploma,Employed Full-Time,Satisfied,Very Satisfied,豪華咖啡茶廳,59
43,I have used OpenRice.,I have commented restaurants.,Pricing┋Appealing images┋Detailed Menu┋Food Descriptions,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Rating→Comments from Other Users→Appealing images→Pricing→Detailed Menu",Slightly Important,Moderately Important  ,Moderately Important  ,Very Important,Moderately Important  ,Moderately Important  ,Slightly Important,Very Important,Not Important at All,Disagree,Normal,Disagree,Agree,Normal,Normal,Disagree,Agree,Male,25 - 34,Bachelor's degree,Seeking opportunities,Very Satisfied,Normal,富記粥品,56
44,I have used OpenRice.,I have commented restaurants.,"Restaurant Information (e.g. Introduction, Address, Opening Hours etc)┋Pricing┋Appealing images┋Discounts or Promotions","Restaurant Information (e.g. Introduction, Address, Opening Hours etc)→Comments from Other Users→Detailed Menu→Rating→Appealing images→Pricing",Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Normal,Strongly Agree,Strongly Agree,Strongly Agree,Female,25 - 34,"Doctoral degree (Ph.D., Ed.D., etc.)",Employed Full-Time,Normal,Normal,坤記糕品,86
