q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7,q8,q9,q10,q11,q12,q13,Total,emotional_total,stable_total,personality,rating
11,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Rating', 'Pricing', 'Food Descriptions', 'Comments from Other Users', 'Discounts or Promotions', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Appealing images']",5,4,5,5,4,4,5,4,3,5,2,4,5,2,5,2,3,0,1,2,5,1,3,華星冰室,77,19,9,emotional,3.5
12,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,4,5,4,5,4,5,4,4,3,2,5,4,1,4,1,1,1,6,2,2,2,5,滿記甜品,82,16,5,emotional,3.5
13,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Comments from Other Users', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating', 'Appealing images', 'Pricing']",4,4,4,4,4,5,5,4,4,5,3,4,5,1,4,2,2,1,2,3,1,4,4,靠得住,80,18,8,emotional,4.5
14,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Rating', 'Pricing', 'Comments from Other Users', 'Detailed Menu', 'Food Descriptions', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Discounts or Promotions']",3,3,2,1,1,3,1,1,1,5,2,4,3,3,3,1,3,1,4,4,1,5,4,維記咖啡粉麵,55,15,9,emotional,3.5
15,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Food Descriptions', 'Detailed Menu', 'Appealing images', 'Discounts or Promotions', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Comments from Other Users']",2,3,2,1,2,2,2,3,1,5,1,3,3,1,5,2,1,1,5,2,2,4,4,鳳城酒家,61,16,5,emotional,3.5
16,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Rating', 'Pricing', 'Appealing images', 'Detailed Menu']",1,1,1,3,2,1,1,3,4,4,2,4,3,2,5,3,1,1,2,3,1,2,4,金華冰廳,55,16,8,emotional,3.5
17,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Discounts or Promotions', 'Detailed Menu', 'Appealing images', 'Pricing', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Food Descriptions', 'Rating']",3,5,5,5,5,3,5,5,4,4,1,5,5,2,4,1,2,1,3,5,2,4,3,公和荳品廠,83,18,6,emotional,3.5
18,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating', 'Comments from Other Users', 'Detailed Menu']",5,3,5,5,4,5,4,4,3,1,5,1,3,4,3,5,2,1,3,4,2,4,4,妹記大排檔,62,8,16,stable,3.5
19,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Discounts or Promotions', 'Rating', 'Appealing images', 'Food Descriptions', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu']",5,4,3,4,4,4,5,5,5,3,3,5,4,1,4,2,1,0,3,5,2,2,3,泰昌蛋塔,77,16,7,emotional,3.5
20,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Detailed Menu', 'Food Descriptions', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Discounts or Promotions', 'Pricing', 'Comments from Other Users', 'Appealing images']",4,5,4,4,4,5,5,4,4,4,3,5,5,2,5,1,2,0,5,1,2,1,5,麥奀雲吞麵世家,80,19,8,emotional,3.5
21,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Comments from Other Users', 'Rating', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images']",5,5,4,5,5,4,5,5,3,4,2,4,5,1,5,1,1,0,1,1,5,2,5,泰昌蛋塔,85,18,5,emotional,3.5
22,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Appealing images', 'Comments from Other Users', 'Pricing', 'Rating']",1,2,2,2,2,1,4,3,1,5,3,4,5,1,3,2,1,0,2,3,1,2,4,鏞記酒家,58,17,7,emotional,3.5
23,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Rating', 'Pricing', 'Appealing images', 'Food Descriptions', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Discounts or Promotions']",4,5,3,3,4,5,3,4,5,4,2,5,5,2,5,3,1,1,7,2,4,4,5,甘牌燒鵝,80,19,8,emotional,3.0
24,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Rating', 'Detailed Menu']",5,4,5,5,4,5,5,4,3,5,1,5,4,1,3,1,2,0,4,3,1,2,5,華星冰室,83,17,5,emotional,3.5
25,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Appealing images', 'Pricing', 'Comments from Other Users', 'Detailed Menu', 'Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,4,5,5,5,4,3,4,3,1,5,4,1,4,1,2,1,3,6,1,5,5,劉森記麵家,84,16,5,emotional,3.5
26,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Comments from Other Users', 'Rating']",3,4,1,3,3,1,1,4,1,1,5,4,1,5,4,3,4,1,5,1,2,1,5,肥姐小食店,44,10,17,stable,3.5
27,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Comments from Other Users', 'Discounts or Promotions', 'Pricing', 'Appealing images', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Food Descriptions', 'Rating']",5,3,4,5,4,4,4,5,5,5,1,3,5,2,5,1,3,1,3,4,2,2,5,維記咖啡粉麵,81,18,7,emotional,3.5
28,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Rating', 'Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Food Descriptions', 'Discounts or Promotions']",3,5,5,3,4,4,4,3,3,3,3,3,4,1,4,2,3,1,4,4,2,1,5,甘の季節,69,14,9,emotional,3.5
29,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Comments from Other Users', 'Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Rating']",1,1,1,3,1,1,3,1,1,5,2,4,4,1,3,2,1,1,2,4,2,2,4,興記菜館,53,16,6,emotional,3.0
30,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Rating', 'Comments from Other Users', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",4,5,5,5,3,4,5,5,5,5,1,4,4,1,5,1,1,1,7,1,4,1,4,新斗記,84,18,4,emotional,3.5
31,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Appealing images', 'Pricing', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Discounts or Promotions', 'Rating', 'Food Descriptions']",3,5,4,5,4,5,4,5,5,5,1,5,5,3,4,1,2,0,4,4,3,2,5,澳洲牛奶公司,83,19,7,emotional,3.5
32,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Rating', 'Appealing images', 'Comments from Other Users', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",4,4,3,4,5,4,3,4,4,4,2,5,4,2,4,1,2,0,3,3,2,5,4,車仔麵之家,78,17,7,emotional,3.5
33,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,4,4,4,4,4,5,4,5,2,3,5,2,5,2,3,0,7,1,4,4,4,裕興咖啡,78,18,9,emotional,4.0
34,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu', 'Rating', 'Appealing images']",2,1,3,2,2,3,4,1,2,2,4,2,1,2,2,4,4,0,3,5,2,5,1,再興燒臘,43,7,14,stable,3.5
35,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Detailed Menu', 'Rating', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images']",5,5,4,5,4,3,4,4,4,5,2,4,3,1,3,2,1,0,4,4,3,5,5,義順牛奶公司,81,15,6,emotional,3.0
36,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Comments from Other Users', 'Pricing']",4,3,5,4,4,3,5,5,5,4,2,3,4,2,5,3,1,1,3,3,3,1,2,華星冰室,73,16,8,emotional,3.5
37,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Detailed Menu', 'Pricing', 'Appealing images', 'Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",5,5,5,5,3,4,3,3,5,4,5,1,2,4,2,4,4,0,4,3,3,3,1,澳門翠苑餐廳,58,9,17,stable,3.5
38,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Rating', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu']",5,5,5,3,5,5,5,3,4,5,2,5,4,2,5,2,1,1,1,1,5,5,4,肥姐小食店,85,19,7,emotional,3.5
39,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Pricing', 'Detailed Menu']",2,1,1,3,3,3,2,3,1,3,5,2,1,5,3,2,4,0,2,3,2,4,2,華記小食,42,9,16,stable,3.5
40,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Discounts or Promotions', 'Comments from Other Users', 'Detailed Menu', 'Food Descriptions', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Rating']",5,4,5,4,4,4,4,4,5,2,3,2,1,4,1,5,2,1,2,5,2,4,1,泰昌蛋塔,60,6,14,stable,3.5
41,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating', 'Appealing images', 'Detailed Menu', 'Pricing', 'Comments from Other Users']",4,4,3,3,5,4,5,3,4,5,2,4,3,1,4,1,2,0,3,4,1,2,2,華記小食,73,16,6,emotional,3.5
42,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating']",4,4,3,5,4,5,4,4,4,1,4,3,1,5,1,4,4,0,3,3,1,4,5,豪華咖啡茶廳,59,6,17,stable,3.5
43,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating', 'Comments from Other Users', 'Appealing images', 'Pricing', 'Detailed Menu']",2,3,3,4,3,3,2,4,1,2,3,2,4,3,3,4,2,1,3,4,3,5,3,富記粥品,56,11,12,stable,3.5
44,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu', 'Rating', 'Appealing images', 'Pricing']",5,5,4,5,4,5,5,5,4,5,1,5,5,3,5,1,1,0,3,6,1,3,3,坤記糕品,86,20,6,emotional,3.0
45,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Rating', 'Pricing', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Comments from Other Users']",3,5,4,4,4,5,4,5,4,1,5,4,1,5,1,4,2,0,3,4,2,4,3,唐宮小聚,60,7,16,stable,4.0
46,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Detailed Menu', 'Rating', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",3,5,5,4,5,5,3,5,4,2,5,1,3,3,2,4,4,0,2,5,2,5,5,豪華咖啡茶廳,65,8,16,stable,3.5
47,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,5,5,5,4,4,5,4,5,4,1,5,5,1,5,2,2,1,7,1,4,2,5,坤記糕品,85,19,6,emotional,3.0
48,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Appealing images', 'Rating', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Comments from Other Users']",1,4,2,1,1,1,2,3,4,4,2,4,5,3,4,2,2,0,2,6,1,4,2,華姐清湯腩,57,17,9,emotional,3.5
49,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Detailed Menu', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Rating']",1,1,2,1,1,2,2,2,3,3,1,5,4,2,3,1,1,1,2,3,2,5,5,源記餐廳,59,15,5,emotional,3.5
50,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Detailed Menu', 'Pricing', 'Appealing images', 'Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,4,3,5,5,5,3,5,4,3,4,5,3,3,1,1,1,2,4,2,4,5,波記燒臘,80,16,8,emotional,3.5
51,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",4,5,3,5,4,3,5,5,4,1,3,2,2,3,4,4,4,0,6,2,3,2,4,坤記糕品,63,9,14,stable,3.0
52,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Appealing images', 'Detailed Menu', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,4,4,4,4,5,4,5,3,4,2,4,4,2,4,1,1,1,3,3,3,3,5,第三代肥仔小食店,80,16,6,emotional,4.0
53,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",5,5,5,4,4,5,5,4,5,4,1,5,4,1,4,1,1,1,2,5,2,5,5,華姐清湯腩,89,17,4,emotional,3.5
54,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",1,1,1,1,2,3,1,3,2,4,1,4,4,2,5,1,3,0,2,3,2,5,3,榮記粉麵,57,17,7,emotional,3.5
55,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Detailed Menu', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",4,5,5,3,4,4,4,4,3,2,4,2,3,4,3,3,5,1,1,2,5,1,5,肥姐小食店,60,10,16,stable,3.5
56,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Detailed Menu', 'Pricing', 'Appealing images', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",2,1,3,2,4,1,2,1,2,4,1,4,5,3,4,1,2,0,5,1,1,1,3,再興燒臘,56,17,7,emotional,3.5
57,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Pricing', 'Appealing images']",5,4,5,5,4,4,3,4,5,4,3,5,5,2,4,1,3,1,3,3,1,1,4,甘牌燒鵝,77,18,9,emotional,3.0
58,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,5,5,4,5,3,3,4,4,1,5,4,2,4,2,2,0,3,6,2,1,2,Bakehouse,74,17,7,emotional,3.5
59,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,1,2,1,2,1,3,2,1,4,1,4,3,2,4,3,1,0,7,1,4,5,1,一樂燒鵝,55,15,7,emotional,3.5
60,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,5,5,4,4,3,4,4,4,4,1,4,5,3,3,1,1,1,5,1,3,2,5,強記美食,78,16,6,emotional,3.5
61,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",5,5,4,4,4,5,5,4,3,4,1,3,3,1,4,2,2,0,3,4,2,5,4,唐宮小聚,80,14,6,emotional,4.0
62,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Comments from Other Users', 'Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",4,5,3,4,5,5,5,5,4,5,1,4,4,1,5,3,1,1,2,4,1,3,4,一樂燒鵝,83,18,6,emotional,3.5
63,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Pricing', 'Appealing images', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,5,4,5,4,3,5,5,4,3,4,4,1,5,2,1,0,5,1,2,2,4,義順牛奶公司,79,17,7,emotional,3.0
64,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,5,5,5,4,5,5,4,4,4,1,5,5,2,5,3,2,0,2,4,2,5,4,波記燒臘,84,19,8,emotional,3.5
65,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Appealing images', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu']",4,5,3,5,5,5,5,4,4,5,1,3,5,2,4,1,2,1,5,1,3,4,5,嚐囍煲仔小菜,84,17,6,emotional,3.5
66,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,4,2,1,3,3,3,3,2,4,1,4,3,3,3,1,3,0,3,6,3,1,3,利強記北角雞蛋仔,58,14,8,emotional,3.0
67,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",3,4,5,3,5,5,4,4,5,4,2,5,4,3,5,1,2,1,2,5,3,1,5,新斗記,78,18,8,emotional,3.5
68,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,5,5,4,5,5,4,4,3,1,5,5,1,4,2,2,1,6,1,2,4,5,華嫂冰室,84,17,6,emotional,3.5
69,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,5,5,5,4,4,5,4,4,2,5,5,1,3,1,1,0,5,1,2,5,5,甘の季節,86,17,5,emotional,3.5
70,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Comments from Other Users', 'Detailed Menu']",5,5,5,3,4,4,5,5,4,5,1,5,3,3,5,1,2,0,4,3,1,1,1,生記粥品,77,18,7,emotional,3.5
